06/08/1999,20:00,,Galatasaray,1,2,Gaziantepspor,,
07/08/1999,19:00,,Gençlerbirliği,1,0,Beşiktaş,,
07/08/1999,19:00,,Samsunspor,2,0,Ankaragücü,,
08/08/1999,19:00,,Fenerbahçe,3,0,Vanspor,,
08/08/1999,19:00,,Adanaspor,1,2,Trabzonspor,,
08/08/1999,19:00,1,Bursaspor,1,4,Altay,,
08/08/1999,19:00,,Erzurumspor,0,1,Denizlispor,,
08/08/1999,19:00,,Göztepe,0,0,Kocaelispor,,
08/08/1999,19:00,,Antalyaspor,0,3,İstanbulspor,,
13/08/1999,20:00,,Altay,0,0,Göztepe,,
14/08/1999,18:00,,İstanbulspor,1,0,Bursaspor,,
14/08/1999,19:00,,Fenerbahçe,1,1,Kocaelispor,,
15/08/1999,19:00,,Vanspor,0,2,Erzurumspor,,
15/08/1999,19:00,1,Trabzonspor,1,2,Galatasaray,,
15/08/1999,19:00,,Gaziantepspor,1,2,Antalyaspor,,
15/08/1999,19:00,,Denizlispor,1,3,Gençlerbirliği,,
15/08/1999,19:00,,Beşiktaş,4,0,Samsunspor,,
15/08/1999,19:00,,Ankaragücü,0,0,Adanaspor,1,
10/09/1999,20:00,,Antalyaspor,0,2,Trabzonspor,,
11/09/1999,19:00,,Galatasaray,5,0,Ankaragücü,1,
12/09/1999,19:00,,Samsunspor,2,1,Adanaspor,,
12/09/1999,19:00,,Erzurumspor,3,3,Kocaelispor,,
12/09/1999,19:00,2,Bursaspor,0,1,Gaziantepspor,,
12/09/1999,19:00,,Gençlerbirliği,1,1,Vanspor,,
12/09/1999,19:00,,Fenerbahçe,3,1,Altay,,
12/09/1999,19:00,,Göztepe,2,0,İstanbulspor,,
12/09/1999,19:00,,Beşiktaş,1,1,Denizlispor,,
17/09/1999,20:00,,Adanaspor,3,4,Galatasaray,,
18/09/1999,19:00,,Gençlerbirliği,0,4,Kocaelispor,,
18/09/1999,19:00,,Trabzonspor,2,0,Bursaspor,,
19/09/1999,16:30,,İstanbulspor,1,4,Fenerbahçe,,
19/09/1999,19:00,1,Altay,3,0,Erzurumspor,,
19/09/1999,19:00,,Denizlispor,4,1,Samsunspor,1,
19/09/1999,19:00,,Ankaragücü,1,3,Antalyaspor,,
19/09/1999,19:00,,Vanspor,0,6,Beşiktaş,,
19/09/1999,19:00,,Gaziantepspor,2,1,Göztepe,1,
24/09/1999,20:00,,Samsunspor,0,1,Galatasaray,,
25/09/1999,19:00,,Beşiktaş,1,0,Kocaelispor,,
26/09/1999,15:30,1,Gençlerbirliği,0,0,Altay,,
26/09/1999,15:30,,Erzurumspor,0,0,İstanbulspor,,
26/09/1999,19:00,,Göztepe,1,1,Trabzonspor,,
26/09/1999,19:00,,Antalyaspor,2,2,Adanaspor,1,
26/09/1999,19:00,1,Bursaspor,3,1,Ankaragücü,1,
26/09/1999,19:00,,Fenerbahçe,0,0,Gaziantepspor,,
26/09/1999,19:00,,Denizlispor,1,0,Vanspor,,
15/10/1999,20:00,,Galatasaray,2,0,Antalyaspor,,
16/10/1999,15:00,,Ankaragücü,1,2,Göztepe,,
16/10/1999,19:00,,Trabzonspor,2,0,Fenerbahçe,2,
17/10/1999,15:30,,İstanbulspor,3,1,Gençlerbirliği,,
17/10/1999,19:00,,Gaziantepspor,6,0,Erzurumspor,,
17/10/1999,19:00,,Altay,2,2,Beşiktaş,,
17/10/1999,19:00,,Adanaspor,1,1,Bursaspor,,
17/10/1999,19:00,,Denizlispor,3,1,Kocaelispor,,
17/10/1999,19:00,,Vanspor,0,0,Samsunspor,,
22/10/1999,20:00,,Bursaspor,0,0,Galatasaray,,
23/10/1999,19:00,,Beşiktaş,3,0,İstanbulspor,,
24/10/1999,14:00,,Gençlerbirliği,0,1,Gaziantepspor,,
24/10/1999,14:00,,Erzurumspor,2,1,Trabzonspor,,
24/10/1999,19:00,,Göztepe,0,1,Adanaspor,,
24/10/1999,19:00,,Fenerbahçe,1,1,Ankaragücü,,
24/10/1999,19:00,,Denizlispor,2,1,Altay,,
24/10/1999,19:00,,Samsunspor,0,1,Antalyaspor,,
24/10/1999,19:01,,Vanspor,5,0,Kocaelispor,1,
29/10/1999,20:00,,Galatasaray,2,0,Göztepe,1,
30/10/1999,14:00,,Ankaragücü,1,0,Erzurumspor,,
30/10/1999,19:00,,Adanaspor,1,3,Fenerbahçe,,
31/10/1999,13:00,,İstanbulspor,1,1,Denizlispor,1,
31/10/1999,13:00,,Altay,2,0,Vanspor,,
31/10/1999,13:00,,Samsunspor,5,1,Kocaelispor,,
31/10/1999,18:00,,Gaziantepspor,0,0,Beşiktaş,,
31/10/1999,18:00,,Antalyaspor,1,1,Bursaspor,,
31/10/1999,18:00,,Trabzonspor,1,2,Gençlerbirliği,,
19/11/1999,19:00,1,Denizlispor,1,0,Gaziantepspor,,
20/11/1999,18:00,,Göztepe,1,2,Antalyaspor,,
21/11/1999,11:30,,Erzurumspor,4,1,Adanaspor,1,
21/11/1999,12:30,1,Gençlerbirliği,1,2,Ankaragücü,,
21/11/1999,12:30,,Samsunspor,1,0,Bursaspor,,
21/11/1999,13:00,1,Altay,0,1,Kocaelispor,,
21/11/1999,18:00,,Beşiktaş,1,1,Trabzonspor,,
21/11/1999,18:00,,Vanspor,1,1,İstanbulspor,,
26/11/1999,19:00,,Ankaragücü,2,3,Beşiktaş,,
27/11/1999,18:00,,Antalyaspor,2,3,Fenerbahçe,,
27/11/1999,18:00,,Adanaspor,1,2,Gençlerbirliği,,
28/11/1999,12:30,1,Gaziantepspor,1,3,Vanspor,,
28/11/1999,13:00,,Altay,2,1,Samsunspor,1,
28/11/1999,13:00,1,İstanbulspor,4,1,Kocaelispor,,
28/11/1999,18:00,1,Galatasaray,4,1,Erzurumspor,,
28/11/1999,18:00,1,Trabzonspor,1,1,Denizlispor,,
28/11/1999,18:00,,Bursaspor,1,2,Göztepe,,
03/12/1999,19:00,,Gençlerbirliği,1,1,Galatasaray,,
04/12/1999,18:00,,Beşiktaş,0,1,Adanaspor,,
05/12/1999,11:30,,Vanspor,2,2,Trabzonspor,,
05/12/1999,11:30,,Erzurumspor,4,0,Antalyaspor,,
05/12/1999,12:30,,Gaziantepspor,1,0,Kocaelispor,,
05/12/1999,12:30,,Samsunspor,4,0,Göztepe,,
05/12/1999,13:00,,Altay,0,0,İstanbulspor,,
05/12/1999,18:00,,Fenerbahçe,2,2,Bursaspor,1,
05/12/1999,18:00,,Denizlispor,1,1,Ankaragücü,,
10/12/1999,19:00,,Adanaspor,3,2,Denizlispor,1,
11/12/1999,13:00,,İstanbulspor,0,1,Samsunspor,,
11/12/1999,18:00,,Göztepe,0,0,Fenerbahçe,,
12/12/1999,12:00,,Trabzonspor,1,0,Kocaelispor,1,
12/12/1999,12:30,,Ankaragücü,1,0,Vanspor,1,
12/12/1999,13:00,,Bursaspor,4,2,Erzurumspor,,
12/12/1999,13:00,,Antalyaspor,2,1,Gençlerbirliği,1,
12/12/1999,18:00,,Galatasaray,1,0,Beşiktaş,,
12/12/1999,18:00,,Gaziantepspor,1,0,Altay,1,
17/12/1999,19:08,,Samsunspor,1,1,Fenerbahçe,,
18/12/1999,12:30,,Ankaragücü,3,2,Kocaelispor,,
18/12/1999,18:05,1,Denizlispor,2,4,Galatasaray,,
19/12/1999,11:00,,Vanspor,0,2,Adanaspor,,
19/12/1999,11:35,,Erzurumspor,0,0,Göztepe,,
19/12/1999,12:05,,İstanbulspor,1,1,Gaziantepspor,,
19/12/1999,12:30,,Gençlerbirliği,1,0,Bursaspor,,
19/12/1999,13:04,,Altay,3,1,Trabzonspor,,
19/12/1999,18:05,,Beşiktaş,4,0,Antalyaspor,,
22/12/1999,18:00,,Fenerbahçe,1,2,Galatasaray,,
24/12/1999,19:00,,Bursaspor,0,1,Beşiktaş,,
25/12/1999,12:30,,Ankaragücü,3,0,Altay,,
25/12/1999,12:30,,Adanaspor,3,0,Kocaelispor,,
25/12/1999,18:00,,Fenerbahçe,2,0,Erzurumspor,,
25/12/1999,18:00,,Antalyaspor,2,2,Denizlispor,,
26/12/1999,12:00,,Trabzonspor,1,1,İstanbulspor,,
26/12/1999,12:30,,Gaziantepspor,5,2,Samsunspor,,
26/12/1999,13:00,,Göztepe,3,2,Gençlerbirliği,,
26/12/1999,18:00,,Galatasaray,2,1,Vanspor,,
07/01/2000,19:00,,Beşiktaş,2,1,Göztepe,,
08/01/2000,11:00,,Erzurumspor,1,0,Samsunspor,,
08/01/2000,12:30,,Denizlispor,1,3,Bursaspor,,
08/01/2000,18:00,1,Gençlerbirliği,2,2,Fenerbahçe,,
08/01/2000,18:00,,Altay,2,1,Adanaspor,,
09/01/2000,11:00,,Vanspor,2,4,Antalyaspor,,
09/01/2000,12:30,1,İstanbulspor,2,6,Ankaragücü,,
09/01/2000,12:30,,Trabzonspor,0,0,Gaziantepspor,,
09/01/2000,18:00,,Kocaelispor,1,2,Galatasaray,,
14/01/2000,19:00,,Samsunspor,0,0,Trabzonspor,,
15/01/2000,12:30,,Ankaragücü,1,1,Gaziantepspor,,
15/01/2000,12:30,,Bursaspor,3,2,Vanspor,,
15/01/2000,18:00,,Antalyaspor,3,0,Kocaelispor,,
15/01/2000,18:00,,Galatasaray,3,1,Altay,,
16/01/2000,11:00,,Erzurumspor,1,1,Gençlerbirliği,,
16/01/2000,12:30,1,Göztepe,2,4,Denizlispor,,
16/01/2000,12:30,,Adanaspor,2,1,İstanbulspor,,
16/01/2000,18:00,1,Fenerbahçe,2,1,Beşiktaş,,
21/01/2000,19:00,,Denizlispor,1,1,Fenerbahçe,,
22/01/2000,18:00,,Gaziantepspor,1,1,Adanaspor,,
23/01/2000,12:30,,Gençlerbirliği,1,0,Samsunspor,,
23/01/2000,12:30,,İstanbulspor,0,0,Galatasaray,1,
23/01/2000,12:30,,Altay,2,0,Antalyaspor,,
23/01/2000,12:30,,Trabzonspor,3,1,Ankaragücü,1,
23/01/2000,18:00,,Kocaelispor,3,2,Bursaspor,,
23/01/2000,18:00,,Beşiktaş,2,0,Erzurumspor,,
28/01/2000,19:00,,Trabzonspor,0,1,Adanaspor,,
28/01/2000,19:00,,Vanspor,1,2,Fenerbahçe,,
29/01/2000,12:30,,Kocaelispor,2,0,Göztepe,,
29/01/2000,12:30,,İstanbulspor,0,0,Antalyaspor,,
29/01/2000,13:30,,Ankaragücü,1,2,Samsunspor,,
29/01/2000,18:00,,Beşiktaş,4,0,Gençlerbirliği,,
30/01/2000,12:30,1,Altay,1,2,Bursaspor,,
30/01/2000,12:30,,Denizlispor,2,1,Erzurumspor,1,
30/01/2000,18:00,,Gaziantepspor,0,1,Galatasaray,,
02/02/2000,11:00,,Vanspor,1,0,Göztepe,1,
04/02/2000,19:00,,Samsunspor,0,2,Beşiktaş,,
05/02/2000,12:30,,Bursaspor,1,0,İstanbulspor,,
05/02/2000,12:30,,Gençlerbirliği,3,1,Denizlispor,,
05/02/2000,18:00,,Kocaelispor,1,1,Fenerbahçe,,
06/02/2000,11:00,1,Erzurumspor,2,0,Vanspor,,
06/02/2000,12:30,,Antalyaspor,0,0,Gaziantepspor,,
06/02/2000,12:30,,Göztepe,0,1,Altay,,
06/02/2000,12:30,,Adanaspor,2,2,Ankaragücü,,
06/02/2000,18:00,,Galatasaray,2,0,Trabzonspor,1,
11/02/2000,19:00,,Denizlispor,0,2,Beşiktaş,,
12/02/2000,11:00,2,Vanspor,2,5,Gençlerbirliği,,
12/02/2000,12:30,,Adanaspor,0,1,Samsunspor,,
12/02/2000,18:00,1,Kocaelispor,4,0,Erzurumspor,,
12/02/2000,18:00,,Gaziantepspor,1,1,Bursaspor,,
12/02/2000,18:00,1,Altay,2,3,Fenerbahçe,,
12/02/2000,18:00,,Trabzonspor,2,0,Antalyaspor,,
13/02/2000,12:30,,İstanbulspor,3,0,Göztepe,,
13/02/2000,18:00,,Ankaragücü,0,2,Galatasaray,,
18/02/2000,19:00,,Beşiktaş,2,1,Vanspor,,
19/02/2000,12:30,,Samsunspor,6,2,Denizlispor,,
19/02/2000,18:00,,Fenerbahçe,1,0,İstanbulspor,,
19/02/2000,18:00,1,Kocaelispor,0,0,Gençlerbirliği,1,
19/02/2000,18:00,,Göztepe,0,1,Gaziantepspor,,
20/02/2000,11:00,,Erzurumspor,0,0,Altay,,
20/02/2000,12:30,,Bursaspor,2,3,Trabzonspor,,
20/02/2000,12:30,,Antalyaspor,0,0,Ankaragücü,,
20/02/2000,18:00,,Galatasaray,4,0,Adanaspor,,
25/02/2000,19:00,,Galatasaray,3,1,Samsunspor,,
26/02/2000,12:30,1,Trabzonspor,2,0,Göztepe,,
26/02/2000,12:30,,Ankaragücü,2,1,Bursaspor,,
26/02/2000,18:00,,Kocaelispor,1,2,Beşiktaş,,
26/02/2000,18:00,,Adanaspor,1,2,Antalyaspor,,
27/02/2000,11:00,,Vanspor,2,3,Denizlispor,,
27/02/2000,12:30,,Altay,0,2,Gençlerbirliği,,
27/02/2000,12:30,,İstanbulspor,1,1,Erzurumspor,,
27/02/2000,18:00,,Gaziantepspor,5,1,Fenerbahçe,1,
03/03/2000,19:00,,Beşiktaş,3,0,Altay,,
04/03/2000,11:00,,Erzurumspor,1,1,Gaziantepspor,,
04/03/2000,12:30,,Gençlerbirliği,1,1,İstanbulspor,,
04/03/2000,18:00,,Kocaelispor,1,0,Denizlispor,1,
04/03/2000,18:00,,Fenerbahçe,2,1,Trabzonspor,,
05/03/2000,12:30,,Samsunspor,5,1,Vanspor,,
05/03/2000,12:30,1,Göztepe,2,0,Ankaragücü,,
05/03/2000,12:30,,Bursaspor,3,1,Adanaspor,1,
05/03/2000,18:00,,Antalyaspor,1,3,Galatasaray,,
10/03/2000,19:00,,Trabzonspor,2,0,Erzurumspor,,
11/03/2000,12:30,,Altay,1,0,Denizlispor,,
11/03/2000,16:00,,Gaziantepspor,2,1,Gençlerbirliği,,
11/03/2000,18:00,,Kocaelispor,6,1,Vanspor,,
11/03/2000,18:00,,Ankaragücü,1,1,Fenerbahçe,,
12/03/2000,12:30,,Adanaspor,2,0,Göztepe,,
12/03/2000,12:30,1,İstanbulspor,0,2,Beşiktaş,,
12/03/2000,12:30,,Antalyaspor,0,1,Samsunspor,,
12/03/2000,18:00,,Galatasaray,6,0,Bursaspor,1,
17/03/2000,19:00,1,Fenerbahçe,2,4,Adanaspor,,
18/03/2000,11:00,,Erzurumspor,2,1,Ankaragücü,,
18/03/2000,18:00,,Beşiktaş,1,0,Gaziantepspor,,
18/03/2000,18:00,,Bursaspor,4,2,Antalyaspor,,
18/03/2000,18:00,,Kocaelispor,0,4,Samsunspor,1,
19/03/2000,11:00,,Vanspor,1,1,Altay,,
19/03/2000,12:30,,Denizlispor,3,1,İstanbulspor,,
19/03/2000,12:30,,Gençlerbirliği,0,1,Trabzonspor,,
19/03/2000,18:00,,Göztepe,0,2,Galatasaray,,
24/03/2000,19:00,,Gaziantepspor,0,0,Denizlispor,,
25/03/2000,13:30,,İstanbulspor,0,0,Vanspor,,
25/03/2000,18:00,,Trabzonspor,1,2,Beşiktaş,,
25/03/2000,18:00,,Adanaspor,2,0,Erzurumspor,,
25/03/2000,18:00,,Bursaspor,2,2,Samsunspor,,
26/03/2000,14:30,,Kocaelispor,2,1,Altay,,
26/03/2000,14:30,,Ankaragücü,0,0,Gençlerbirliği,1,
26/03/2000,14:30,1,Antalyaspor,1,0,Göztepe,,
26/03/2000,19:00,,Galatasaray,0,1,Fenerbahçe,,
31/03/2000,20:00,,Denizlispor,0,2,Trabzonspor,,
01/04/2000,12:00,,Erzurumspor,0,0,Galatasaray,,
01/04/2000,12:00,,Vanspor,1,2,Gaziantepspor,,
01/04/2000,13:30,,Gençlerbirliği,5,2,Adanaspor,,
01/04/2000,14:30,,Göztepe,0,1,Bursaspor,,
01/04/2000,19:00,,Fenerbahçe,1,0,Antalyaspor,,
02/04/2000,14:30,,Samsunspor,1,0,Altay,,
02/04/2000,19:00,1,Beşiktaş,3,1,Ankaragücü,,
02/04/2000,19:00,,Kocaelispor,2,1,İstanbulspor,,
07/04/2000,20:00,,Bursaspor,2,1,Fenerbahçe,,
08/04/2000,14:30,,Göztepe,1,2,Samsunspor,,
08/04/2000,14:30,,İstanbulspor,1,0,Altay,,
08/04/2000,19:00,,Kocaelispor,1,2,Gaziantepspor,,
08/04/2000,19:00,,Adanaspor,1,3,Beşiktaş,,
09/04/2000,14:30,,Trabzonspor,4,2,Vanspor,,
09/04/2000,14:30,,Antalyaspor,1,2,Erzurumspor,,
09/04/2000,14:30,,Ankaragücü,3,1,Denizlispor,,
09/04/2000,19:00,,Galatasaray,6,0,Gençlerbirliği,1,
14/04/2000,20:00,,Beşiktaş,1,1,Galatasaray,,
15/04/2000,16:30,1,Altay,1,3,Gaziantepspor,,
15/04/2000,16:30,,Gençlerbirliği,4,1,Antalyaspor,,
15/04/2000,16:30,,Denizlispor,4,2,Adanaspor,,
15/04/2000,19:00,,Kocaelispor,1,0,Trabzonspor,,
16/04/2000,12:00,1,Vanspor,2,3,Ankaragücü,,
16/04/2000,16:30,,Erzurumspor,4,1,Bursaspor,1,
16/04/2000,16:30,,Samsunspor,1,0,İstanbulspor,,
16/04/2000,19:00,1,Fenerbahçe,2,3,Göztepe,,
21/04/2000,20:00,,Fenerbahçe,1,0,Samsunspor,,
22/04/2000,16:30,,Bursaspor,2,5,Gençlerbirliği,,
22/04/2000,16:30,,Trabzonspor,2,1,Altay,,
22/04/2000,16:30,,Adanaspor,2,0,Vanspor,,
22/04/2000,19:00,,Antalyaspor,2,2,Beşiktaş,,
23/04/2000,16:30,1,Göztepe,1,4,Erzurumspor,,
23/04/2000,16:30,,Gaziantepspor,1,0,İstanbulspor,,
23/04/2000,16:30,,Kocaelispor,4,1,Ankaragücü,,
23/04/2000,19:00,,Galatasaray,2,2,Denizlispor,,
28/04/2000,20:00,,Beşiktaş,5,1,Bursaspor,,
29/04/2000,17:00,,İstanbulspor,5,1,Trabzonspor,,
29/04/2000,17:00,,Altay,0,0,Ankaragücü,,
29/04/2000,17:00,,Denizlispor,4,0,Antalyaspor,1,
29/04/2000,17:00,,Kocaelispor,0,0,Adanaspor,,
29/04/2000,19:00,,Vanspor,1,3,Galatasaray,,
30/04/2000,17:00,,Gençlerbirliği,1,0,Göztepe,,
30/04/2000,19:00,,Samsunspor,0,2,Gaziantepspor,,
30/04/2000,19:00,,Erzurumspor,1,5,Fenerbahçe,,
05/05/2000,20:00,,Fenerbahçe,1,3,Gençlerbirliği,,
06/05/2000,17:00,,Bursaspor,4,1,Denizlispor,,
06/05/2000,19:00,,Göztepe,2,4,Beşiktaş,,
06/05/2000,19:00,,Gaziantepspor,3,0,Trabzonspor,1,
07/05/2000,17:00,,Adanaspor,1,0,Altay,,
07/05/2000,17:00,,Samsunspor,2,1,Erzurumspor,,
07/05/2000,17:00,,Ankaragücü,2,2,İstanbulspor,,
07/05/2000,17:00,,Antalyaspor,4,1,Vanspor,,
07/05/2000,19:00,,Galatasaray,5,0,Kocaelispor,,
12/05/2000,17:30,,Altay,1,0,Galatasaray,,
12/05/2000,17:30,,Gaziantepspor,2,2,Ankaragücü,,
12/05/2000,17:30,,Gençlerbirliği,5,0,Erzurumspor,,
12/05/2000,17:30,,Vanspor,3,1,Bursaspor,,
12/05/2000,17:30,,Kocaelispor,1,1,Antalyaspor,,
12/05/2000,17:30,,İstanbulspor,3,2,Adanaspor,,
13/05/2000,17:30,,Denizlispor,2,0,Göztepe,,
13/05/2000,19:00,,Trabzonspor,3,2,Samsunspor,,
14/05/2000,19:00,,Beşiktaş,1,3,Fenerbahçe,,
19/05/2000,20:00,,Samsunspor,1,2,Gençlerbirliği,,
20/05/2000,17:30,,Göztepe,2,1,Vanspor,,
20/05/2000,19:00,,Adanaspor,3,0,Gaziantepspor,1,
20/05/2000,19:00,,Fenerbahçe,2,1,Denizlispor,1,
21/05/2000,19:00,,Bursaspor,2,0,Kocaelispor,,
21/05/2000,19:00,,Erzurumspor,1,4,Beşiktaş,,T
21/05/2000,19:00,,Galatasaray,1,1,İstanbulspor,,
21/05/2000,19:00,,Antalyaspor,3,1,Altay,,
21/05/2000,19:00,,Ankaragücü,1,1,Trabzonspor,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
